INPUT           ORIGINAL BASE   TARGET BASE     CONVERTED VALUE      CONVERTED VALUE IN BASE 10
A               59              58              A                    10                       
2988078         12              14              118607A              8391260                  
1e9L1           46              11              4811238              8390907                  
3               7               58              3                    3                        
1203277         11              43              QGSC                 2097982                  
28V55           37              12              14A4413              4196175                  
4               25              16              4                    4                        
2VA             44              56              1bc                  5246                     
Q09             27              8               45023                18963                    
K               41              28              K                    20                       
4               14              47              4                    4                        
21220011012120  3               17              2G3G7D               4195545                  
4M              52              56              46                   230                      
30tn            56              52              3dpj                 529977                   
SET             40              60              CaT                  45389                    
1T3X            34              60              KG3                  72963                    
4122201301      5               37              4HSR0                8397076                  
GK42            25              21              1779I                262602                   
4               33              21              4                    4                        
17              16              26              N                    23                       
526138          10              47              538K                 526138                   
2E0             15              11              550                  660                      
89              61              40              CH                   497                      
3J4             25              2               100100110010         2354                     
20435           16              27              6J7B                 132149                   
17669           10              51              6eN                  17669                    
1               11              26              1                    1                        
4T6             61              50              6X9                  16659                    
1NO             31              19              4D7                  1698                     
1               31              11              1                    1                        
273             11              5               2242                 322                      
4X              53              53              4X                   245                      
ml              49              11              1891                 2399                     
C               57              32              C                    12                       
T               45              30              T                    29                       
CFI             44              33              LVI                  23910                    
1ESHD           42              6               230000011            4199047                  
1B              50              39              1M                   61                       
232121214       5               60              4q3s                 1051434                  
5018F           18              26              13N47                525363                   
4210441         5               22              6BCK                 69496                    
2J              59              17              81                   137                      
1               47              60              1                    1                        
1G5A            46              57              ePl                  131432                   
29cU            39              7               1065126              133839                   
1020010200      3               56              7dK                  24156                    
2               60              61              2                    2                        
B               55              53              B                    11                       
13nO            63              56              1STH                 265065                   
OB              49              37              W3                   1187                     
o               52              47              13                   50                       
HC              37              30              LB                   641                      
C               46              17              C                    12                       
CFF8B           24              42              1ERMZ                4197515                  
112VG           45              44              15Bh7                4197211                  
AR1             34              35              A6J                  12479                    
B               61              46              B                    11                       
26              14              45              Y                    34                       
8G              35              41              79                   296                      
201000122       4               59              cnP                  135194                   
DON             25              60              2Pm                  8748                     
9X3             48              46              APD                  22323                    
J3B             42              45              GRc                  33653                    
nJ              59              7               11325                2910                     
0               26              45              0                    0                        
19              44              22              29                   53                       
BCC             14              33              24Q                  2336                     
A8              11              46              2Q                   118                      
A2T             32              35              8F8                  10333                    
8998            14              25              1D40                 23850                    
148C6           31              42              E7Rb                 1050751                  
94J23           26              35              2RUAC                4195987                  
25J             30              47              fg                   1969                     
1DC             24              28              144                  900                      
1JPG1           28              25              2H7LI                1051793                  
2B              29              58              1B                   69                       
85A             19              40              1YX                  2993                     
1DX             45              14              D6B                  2643                     
194PJ           36              9               3858331              2105623                  
HEQ             35              6               242445               21341                    
4cPD            48              27              QQFG                 531133                   
BJTj            57              40              WWXW                 2100552                  
10000000010110100010001 2               18              2412HF               4205841                  
1EY5            36              47              Tff                  66029                    
0               48              39              0                    0                        
4               32              21              4                    4                        
5               23              60              5                    5                        
1               63              5               1                    1                        
4121421024      5               50              1H5Rd                8388889                  
6007            8               36              2DJ                  3079                     
C3              24              11              245                  291                      
G9EB            20              32              40PJ                 131891                   
6aUG            54              31              14920                1051396                  
3               59              37              3                    3                        
10O3            32              13              1235C                33539                    
585C49          13              37              14FJG                2098027                  
6BCB            14              17              3E0E                 18799                    
0               62              11              0                    0                        
CWV             51              50              D7P                  32875                    
15EUg           44              34              34VCE                4202482                  
163             9               36              3U                   138                      
834             19              2               101110000101         2949                     
4               43              55              4                    4                        
eoAS            59              43              2JMLC                8389828                  
1012120000      3               33              LQ6                  23733                    
F2              24              36              A2                   362                      
1200202210      3               45              GLL                  33366                    
1BLK            22              20              212E                 16454                    
abm             61              46              1II9                 136261                   
1               14              35              1                    1                        
2               33              30              2                    2                        
3               22              16              3                    3                        
aep             60              44              1O97                 132051                   
22              18              46              c                    38                       
E4O             25              49              3Y5                  8874                     
7SR6            41              14              DB540                530628                   
9Wg             60              4               20120322             34362                    
MPHS            36              60              4sHq                 1059472                  
1A6             13              40              7P                   305                      
3J              42              50              2j                   145                      
KuH             58              26              4097                 70545                    
113410203       5               32              G4D3                 528803                   
2J5             45              5               124120               4910                     
CDM             38              3               220110220            17844                    
Rl              57              9               2152                 1586                     
1EJ5F           24              53              3VoV                 536391                   
9e              41              39              AJ                   409                      
1440            5               56              4L                   245                      
1I6             39              44              16T                  2229                     
LPgV            46              4               20000123213          2098919                  
230023335       6               63              Goox                 4202411                  
5               38              37              5                    5                        
4               57              59              4                    4                        
1               37              60              1                    1                        
5343502         6               35              64DH                 262622                   
M               46              49              M                    22                       
9L              27              60              4O                   264                      
2ABAB7          13              10              1054203              1054203                  
2160            17              27              E0B                  10217                    
U37             33              60              96G                  32776                    
32A342          11              22              25922                526154                   
39              40              9               153                  129                      
3GKC            21              30              195L                 35271                    
D               44              47              D                    13                       
o               60              34              1G                   50                       
F4C             55              48              Jc7                  45607                    
14              44              3               1210                 48                       
14A3BB9         12              16              4004FD               4195581                  
2e              41              38              38                   122                      
P5O             55              27              3N40                 75924                    
28IL6           31              50              GfGP                 2103325                  
2503014         6               20              GC2A                 132850                   
1NMB            34              38              185b                 66651                    
19HG            38              60              J2A                  68530                    
2HSC            38              31              4GQM                 135368                   
6DE             22              51              1Bg                  3204                     
D               33              23              D                    13                       
ZF              41              28              1NM                  1450                     
20GY            51              21              17FAJ                266152                   
6C3A5           20              36              MNWD                 1057405                  
Q               41              18              18                   26                       
2AC545          13              61              4dde                 1055462                  
US              50              47              WO                   1528                     
57EE36          15              5               2033423301           4201701                  
R               42              11              25                   27                       
0               45              63              0                    0                        
19D29           14              47              TYc                  65697                    
XG              45              24              2ED                  1501                     
JK              25              3               200100               495                      
1EEl            60              25              H2GC                 267287                   
1405            8               24              185                  773                      
60              7               4               222                  42                       
2D2             29              7               6003                 2061                     
5Nd             40              21              K6D                  8959                     
322425          6               33              OBE                  26513                    
K               55              43              K                    20                       
15L2            26              37              FQ7                  21504                    
75k             49              26              P7G                  17098                    
8               27              41              8                    8                        
2379            14              58              1mZ                  6183                     
C3              39              41              BK                   471                      
C               26              40              C                    12                       
5               52              62              5                    5                        
1J              29              38              1A                   48                       
299             20              28              179                  989                      
15B663          15              57              5cSj                 1051068                  
8e              47              35              BV                   416                      
240015          7               27              2583                 43230                    
8               23              46              8                    8                        
34              30              20              4E                   94                       
A               39              15              A                    10                       
7C2M            33              58              1Ke3                 264715                   
VIW             35              57              Bom                  38637                    
1TWR            34              63              Idi                  73943                    
3U              53              51              3a                   189                      
155B0           13              38              S2Q                  40534                    
2F7             30              34              1WD                  2257                     
1               31              57              1                    1                        
39AD            27              4               100011211            65893                    
428A78          12              27              1QC7K                1052156                  
108             20              2               110011000            408                      
1E              51              46              1J                   65                       
6B6F            22              18              BG15                 69359                    
2H              52              27              4D                   121                      
21423           5               61              OO                   1488                     
5               43              32              5                    5                        
1Q93N           27              58              5M56                 1049864                  
131232104       7               20              2C96BF               8394635                  
2               3               32              2                    2                        
2               51              11              2                    2                        
1F32            36              6               1230302              66206                    
1               56              25              1                    1                        
18              31              5               124                  39                       
2B6EBD          15              7               23562061             2099203                  
11J             38              36              15P                  1501                     
fob             57              17              1ABFB                136096                   
100010010101011111 2               17              1BAAF                140639                   
D9263           14              15              A5673                524583                   
41462           8               62              4TS                  17202                    
6b              52              53              6V                   349                      
4B8B2           22              10              1058268              1058268                  
j               57              38              17                   45                       
h9UQ            46              22              HKLJ4                4205898                  
21              49              27              3I                   99                       
63              12              31              2D                   75                       
A               18              24              A                    10                       
AH0             25              33              649                  6675                     
SIQ             34              43              HaP                  33006                    
70              63              44              A1                   441                      
675             26              59              1Cs                  4243                     
2IJf            48              55              1W7n                 263609                   
ja              56              53              mC                   2556                     
HKH47           22              62              HdYZ                 4203635                  
5               16              31              5                    5                        
59              32              53              3A                   169                      
54f             61              42              ATW                  18890                    
5               40              55              5                    5                        
Gn62            63              61              ITXX                 4195613                  
10001           2               30              H                    17                       
JNE             29              5               1013120              16660                    
100000111000111101 2               19              10C37                134717                   
PBb3            55              54              QYRM                 4194688                  
1BL             24              56              FL                   861                      
1K              35              6               131                  55                       
2               9               37              2                    2                        
65              29              33              5E                   179                      
1SDG            33              7               365653               66874                    
16M             43              36              1N5                  2129                     
94              30              42              6M                   274                      
95H             61              52              CQB                  33811                    
10A385          12              18              29CHB                266645                   
2B2             20              10              1022                 1022                     
457AA           11              59              J0l                  66186                    
166             37              20              3JH                  1597                     
0               37              32              0                    0                        
132             5               49              g                    42                       
0               3               19              0                    0                        
E3G6            21              62              YA3                  131319                   
9               52              36              9                    9                        
2F3             18              25              1BL                  921                      
NneP            56              6               225525425            4195097                  
TBRR            33              8               4014536              1055070                  
2AC61C          13              28              1K2BR                1055599                  
1A              21              10              31                   31                       
2D7H            62              31              HLEH                 527079                   
26S             46              30              516                  4536                     
0               7               55              0                    0                        
1E014           29              5               232030020            1048760                  
A               17              47              A                    10                       
5DR3            29              55              iAE                  133664                   
E               61              23              E                    14                       
A1              62              11              515                  621                      
HgA             61              35              1IPT                 65829                    
7               39              39              7                    7                        
4IG             19              36              1E2                  1802                     
HcDM            62              16              40104C               4198476                  
110             3               51              C                    12                       
D2371           20              22              8KL7F                2097341                  
14              10              27              E                    14                       
G               31              48              G                    16                       
1UVP            33              37              1DWL                 69655                    
B9E5            15              56              CUr                  39365                    
10w             59              36              2QB                  3539                     
2CA91D          20              15              B0EE73               8403633                  
4               20              38              4                    4                        
1KG5            45              54              jKo                  132350                   
7417            42              20              35E61                525721                   
4548            40              10              264168               264168                   
634             7               28              BB                   319                      
5               12              27              5                    5                        
2tY             57              3               111021001            9667                     
1021122122      3               47              BKN                  25262                    
85              36              54              5N                   293                      
ZWOT            49              43              19X8R                4195752                  
21001022201     3               2               100001110111111001   138745                   
148             9               19              6B                   125                      
2               24              10              2                    2                        
6IDQ            27              29              5BDO                 131597                   
edT             42              8               215043               72227                    
607             63              60              6b1                  23821                    
800705          16              25              LBOG5                8390405                  
E68I            21              33              3MLO                 132486                   
YC              48              17              5BC                  1644                     
I9BM7           26              33              72GUW                8391767                  
10000000011101010000 2               53              3SGT                 526160                   
4000257         8               5               232030001            1048751                  
A3              12              6               323                  123                      
16              46              23              26                   52                       
A5CDA           15              43              6QLB                 526030                   
0               53              58              0                    0                        
80D5            16              48              EF5                  32981                    
1               28              8               1                    1                        
22O9            25              10              33109                33109                    
11              26              9               30                   27                       
800BD           32              24              116K4D               8388973                  
2               61              60              2                    2                        
1O2B            44              53              klg                  131747                   
9JD             34              38              7P5                  11063                    
1K4             22              59              Fh                   928                      
0               50              36              0                    0                        
D               48              46              D                    13                       
5               28              8               5                    5                        
3               17              19              3                    3                        
1               3               17              1                    1                        
32FD            22              34              SQ3                  33255                    
0               60              18              0                    0                        
2DD0            14              4               2000122              8218                     
3               38              38              3                    3                        
1G4             36              19              53E                  1876                     
8               41              27              8                    8                        
35G62           20              52              3cbM                 526522                   
52D43           15              15              52D43                262863                   
ME              45              30              13E                  1004                     
C               31              17              C                    12                       
2AA981          13              13              2AA981               1051792                  
2305            7               47              Hd                   838                      
2               27              51              2                    2                        
1673            15              63              1Dj                  4833                     
I               31              21              I                    18                       
5               60              42              5                    5                        
2V9             45              44              2Zg                  5454                     
156N            25              23              1CHH                 18923                    
D               58              55              D                    13                       
2TBGG           42              41              2dVBX                8392036                  
2B              27              39              1Q                   65                       
144B            13              48              1D8                  2936                     
A4              17              42              46                   174                      
60GK            28              39              28Z9                 132180                   
3IL             30              13              163B                 3261                     
111121021220    3               56              1TLK                 267756                   
4SY             61              10              16626                16626                    
41DE9           19              53              3Ufb                 533111                   
182614          17              48              IlDc                 2099606                  
11              5               50              6                    6                        
40000765        8               35              5KN8T                8389109                  
D90             16              60              vq                   3472                     
9               56              27              9                    9                        
143             47              60              e0                   2400                     
2B6946          15              55              CXTk                 2097966                  
0               11              31              0                    0                        
1E              35              3               1211                 49                       
23131           5               29              1SD                  1666                     
Mb2l            57              59              KP0F                 4194620                  
10221121210     3               8               227637               77727                    
4               26              46              4                    4                        
3IAM            54              31              HJNN                 525442                   
1WEA            33              61              J99                  71257                    
15B753          15              38              J618                 1051278                  
NJH             27              44              8f5                  17297                    
115850          9               11              4860A                69948                    
1578            9               58              Kj                   1205                     
3               28              60              3                    3                        
HFc             44              40              L0A                  33610                    
1CNC            26              53              9JA                  26298                    
1000000110000101000 2               29              APBM                 265256                   
5ARQ            29              35              322J                 131164                   
2               5               38              2                    2                        
AU              55              8               1104                 580                      
j               59              16              2D                   45                       
0               38              16              0                    0                        
16EN            30              10              32843                32843                    
4               38              6               4                    4                        
4004A8          16              49              ZWJI                 4195496                  
0               36              49              0                    0                        
2G2H            23              6               412045               32861                    
1D              38              8               63                   51                       
16L7            31              50              EOF                  36215                    
212KJ6          21              21              212KJ6               8390430                  
1d              46              24              3D                   85                       
6fD             63              35              LJK                  26410                    
5tOl            56              60              4qCV                 1051951                  
1               63              32              1                    1                        
0               62              11              0                    0                        
1               32              61              1                    1                        
1X9             36              4               212331               2493                     
13P5I           26              10              526752               526752                   
1GF             34              36              1BN                  1715                     
29              21              45              16                   51                       
3n              54              32              6J                   211                      
4PE5            31              15              2C853                143628                   
1PD3B           33              53              E55P                 2098613                  
Ab              43              62              7X                   467                      
1106            11              51              SU                   1458                     
D               32              12              11                   13                       
IlYA            48              26              4FD9K                2100586                  
H               62              30              H                    17                       
R5Z             37              19              5800                 37183                    
2               37              5               2                    2                        
2GEB            18              32              GMN                  17111                    
3BV             59              33              A72                  11123                    
OMKK            35              26              28334                1056670                  
5GD             24              61              ri                   3277                     
BP2HB           29              39              3OIGL                8392002                  
LC1FK           25              4               200000233131         8391645                  
1221001020      3               62              9rx                  37941                    
80E7            16              44              H1h                  32999                    
15              25              8               36                   30                       
6DJ             39              16              25B4                 9652                     
G8              26              9               521                  424                      
65069           12              20              GCGH                 133137                   
BH              19              43              5B                   226                      
G26             36              34              I06                  20814                    
1H              44              24              2D                   61                       
1000001000111000000 2               10              266688               266688                   
1               43              29              1                    1                        
2GCD            23              13              120A2                33087                    
4ckP            61              18              A076H                1052153                  
3586            23              56              CUO                  39336                    
I               43              8               22                   18                       
0               56              26              0                    0                        
76B             34              39              5I0                  8307                     
3               35              20              3                    3                        
78              59              34              CD                   421                      
OHMT            35              18              A02C0                1050624                  
2Kv9            61              41              7TGG                 531868                   
1M              26              50              m                    48                       
acR             44              40              14OZ                 71395                    
2               54              9               2                    2                        
b7              42              4               120121               1561                     
B4              38              60              72                   422                      
R3              42              4               101301               1137                     
3E              34              54              28                   116                      
0               21              32              0                    0                        
0               20              41              0                    0                        
400361          8               16              200F1                131313                   
2000517         8               60              2Phh                 524623                   
4320633         7               21              2EH13                526137                   
586EF           21              38              J4T2                 1049448                  
5QE             47              35              A0V                  12281                    
D               59              17              D                    13                       
0               8               19              0                    0                        
NO              45              48              M3                   1059                     
7H8             29              44              3D8                  6388                     
O7D             53              11              46A37                67800                    
1211210101      3               60              A4w                  36298                    
1PC4F           33              61              9EhF                 2097561                  
10111110        2               62              34                   190                      
232024220       5               12              426A65               1048685                  
27H7O           26              19              80GHF                1048682                  
34036           8               62              3ji                  14366                    
1772            24              30              K0Q                  18026                    
3               22              31              3                    3                        
WcH             45              13              24386                66527                    
11              14              59              F                    15                       
3MG             35              30              4SL                  4461                     
BJhE            57              36              191DZ                2101319                  
3d              50              15              C9                   189                      
2dZ8S           41              30              AB1OC                8398632                  
J7              60              16              47B                  1147                     
7               19              35              7                    7                        
LU9             56              26              3LNN                 67545                    
1A              45              30              1P                   55                       
6R              40              43              69                   267                      
1               38              19              1                    1                        
