Input: AmA, Original Base: 55, Target Base: 12, Converted: 17058, Base10: 32900
Input: 1E, Original Base: 51, Target Base: 46, Converted: 1J, Base10: 65
Input: 6B6F, Original Base: 22, Target Base: 18, Converted: BG15, Base10: 69359
Input: 2H, Original Base: 52, Target Base: 27, Converted: 4D, Base10: 121
Input: 21423, Original Base: 5, Target Base: 61, Converted: OO, Base10: 1488
Input: 5, Original Base: 43, Target Base: 32, Converted: 5, Base10: 5
Input: 1Q93N, Original Base: 27, Target Base: 58, Converted: 5M56, Base10: 1049864
Input: 131232104, Original Base: 7, Target Base: 20, Converted: 2C96BF, Base10: 8394635
Input: 2, Original Base: 3, Target Base: 32, Converted: 2, Base10: 2
Input: 2, Original Base: 51, Target Base: 11, Converted: 2, Base10: 2
Input: 1F32, Original Base: 36, Target Base: 6, Converted: 1230302, Base10: 66206
Input: 1, Original Base: 56, Target Base: 25, Converted: 1, Base10: 1
Input: 18, Original Base: 31, Target Base: 5, Converted: 124, Base10: 39
Input: 2B6EBD, Original Base: 15, Target Base: 7, Converted: 23562061, Base10: 2099203
Input: 11J, Original Base: 38, Target Base: 36, Converted: 15P, Base10: 1501
Input: fob, Original Base: 57, Target Base: 17, Converted: 1ABFB, Base10: 136096
Input: 100010010101011111, Original Base: 2, Target Base: 17, Converted: 1BAAF, Base10: 140639
Input: D9263, Original Base: 14, Target Base: 15, Converted: A5673, Base10: 524583
Input: 41462, Original Base: 8, Target Base: 62, Converted: 4TS, Base10: 17202
Input: 6b, Original Base: 52, Target Base: 53, Converted: 6V, Base10: 349
Input: 4B8B2, Original Base: 22, Target Base: 10, Converted: 1058268, Base10: 1058268
Input: j, Original Base: 57, Target Base: 38, Converted: 17, Base10: 45
Input: h9UQ, Original Base: 46, Target Base: 22, Converted: HKLJ4, Base10: 4205898
Input: 21, Original Base: 49, Target Base: 27, Converted: 3I, Base10: 99
Input: 63, Original Base: 12, Target Base: 31, Converted: 2D, Base10: 75
Input: A, Original Base: 18, Target Base: 24, Converted: A, Base10: 10
Input: AH0, Original Base: 25, Target Base: 33, Converted: 649, Base10: 6675
Input: SIQ, Original Base: 34, Target Base: 43, Converted: HaP, Base10: 33006
Input: 70, Original Base: 63, Target Base: 44, Converted: A1, Base10: 441
Input: 675, Original Base: 26, Target Base: 59, Converted: 1Cs, Base10: 4243
Input: 2IJf, Original Base: 48, Target Base: 55, Converted: 1W7n, Base10: 263609
Input: ja, Original Base: 56, Target Base: 53, Converted: mC, Base10: 2556
Input: HKH47, Original Base: 22, Target Base: 62, Converted: HdYZ, Base10: 4203635
Input: 5, Original Base: 16, Target Base: 31, Converted: 5, Base10: 5
Input: 59, Original Base: 32, Target Base: 53, Converted: 3A, Base10: 169
Input: 54f, Original Base: 61, Target Base: 42, Converted: ATW, Base10: 18890
Input: 5, Original Base: 40, Target Base: 55, Converted: 5, Base10: 5
Input: Gn62, Original Base: 63, Target Base: 61, Converted: ITXX, Base10: 4195613
Input: 10001, Original Base: 2, Target Base: 30, Converted: H, Base10: 17
Input: JNE, Original Base: 29, Target Base: 5, Converted: 1013120, Base10: 16660
Input: 100000111000111101, Original Base: 2, Target Base: 19, Converted: 10C37, Base10: 134717
Input: PBb3, Original Base: 55, Target Base: 54, Converted: QYRM, Base10: 4194688
Input: 1BL, Original Base: 24, Target Base: 56, Converted: FL, Base10: 861
Input: 1K, Original Base: 35, Target Base: 6, Converted: 131, Base10: 55
Input: 2, Original Base: 9, Target Base: 37, Converted: 2, Base10: 2
Input: 65, Original Base: 29, Target Base: 33, Converted: 5E, Base10: 179
Input: 1SDG, Original Base: 33, Target Base: 7, Converted: 365653, Base10: 66874
Input: 16M, Original Base: 43, Target Base: 36, Converted: 1N5, Base10: 2129
Input: 94, Original Base: 30, Target Base: 42, Converted: 6M, Base10: 274
Input: 95H, Original Base: 61, Target Base: 52, Converted: CQB, Base10: 33811
Input: 10A385, Original Base: 12, Target Base: 18, Converted: 29CHB, Base10: 266645
Input: 2B2, Original Base: 20, Target Base: 10, Converted: 1022, Base10: 1022
Input: 457AA, Original Base: 11, Target Base: 59, Converted: J0l, Base10: 66186
Input: 166, Original Base: 37, Target Base: 20, Converted: 3JH, Base10: 1597
Input: 0, Original Base: 37, Target Base: 32, Converted: 0, Base10: 0
Input: 132, Original Base: 5, Target Base: 49, Converted: g, Base10: 42
Input: 0, Original Base: 3, Target Base: 19, Converted: 0, Base10: 0
Input: E3G6, Original Base: 21, Target Base: 62, Converted: YA3, Base10: 131319
Input: 9, Original Base: 52, Target Base: 36, Converted: 9, Base10: 9
Input: 2F3, Original Base: 18, Target Base: 25, Converted: 1BL, Base10: 921
Input: NneP, Original Base: 56, Target Base: 6, Converted: 225525425, Base10: 4195097
Input: TBRR, Original Base: 33, Target Base: 8, Converted: 4014536, Base10: 1055070
Input: 2AC61C, Original Base: 13, Target Base: 28, Converted: 1K2BR, Base10: 1055599
Input: 1A, Original Base: 21, Target Base: 10, Converted: 31, Base10: 31
Input: 2D7H, Original Base: 62, Target Base: 31, Converted: HLEH, Base10: 527079
Input: 26S, Original Base: 46, Target Base: 30, Converted: 516, Base10: 4536
Input: 0, Original Base: 7, Target Base: 55, Converted: 0, Base10: 0
Input: 1E014, Original Base: 29, Target Base: 5, Converted: 232030020, Base10: 1048760
Input: A, Original Base: 17, Target Base: 47, Converted: A, Base10: 10
Input: 5DR3, Original Base: 29, Target Base: 55, Converted: iAE, Base10: 133664
Input: E, Original Base: 61, Target Base: 23, Converted: E, Base10: 14
Input: A1, Original Base: 62, Target Base: 11, Converted: 515, Base10: 621
Input: HgA, Original Base: 61, Target Base: 35, Converted: 1IPT, Base10: 65829
Input: 7, Original Base: 39, Target Base: 39, Converted: 7, Base10: 7
Input: 4IG, Original Base: 19, Target Base: 36, Converted: 1E2, Base10: 1802
Input: HcDM, Original Base: 62, Target Base: 16, Converted: 40104C, Base10: 4198476
Input: 110, Original Base: 3, Target Base: 51, Converted: C, Base10: 12
Input: D2371, Original Base: 20, Target Base: 22, Converted: 8KL7F, Base10: 2097341
Input: 14, Original Base: 10, Target Base: 27, Converted: E, Base10: 14
Input: G, Original Base: 31, Target Base: 48, Converted: G, Base10: 16
Input: 1UVP, Original Base: 33, Target Base: 37, Converted: 1DWL, Base10: 69655
Input: B9E5, Original Base: 15, Target Base: 56, Converted: CUr, Base10: 39365
Input: 10w, Original Base: 59, Target Base: 36, Converted: 2QB, Base10: 3539
Input: 2CA91D, Original Base: 20, Target Base: 15, Converted: B0EE73, Base10: 8403633
Input: 4, Original Base: 20, Target Base: 38, Converted: 4, Base10: 4
Input: 1KG5, Original Base: 45, Target Base: 54, Converted: jKo, Base10: 132350
Input: 7417, Original Base: 42, Target Base: 20, Converted: 35E61, Base10: 525721
Input: 4548, Original Base: 40, Target Base: 10, Converted: 264168, Base10: 264168
Input: 634, Original Base: 7, Target Base: 28, Converted: BB, Base10: 319
Input: 5, Original Base: 12, Target Base: 27, Converted: 5, Base10: 5
Input: 2tY, Original Base: 57, Target Base: 3, Converted: 111021001, Base10: 9667
Input: 1021122122, Original Base: 3, Target Base: 47, Converted: BKN, Base10: 25262
Input: 85, Original Base: 36, Target Base: 54, Converted: 5N, Base10: 293
Input: ZWOT, Original Base: 49, Target Base: 43, Converted: 19X8R, Base10: 4195752
Input: 21001022201, Original Base: 3, Target Base: 2, Converted: 100001110111111001, Base10: 138745
Input: 148, Original Base: 9, Target Base: 19, Converted: 6B, Base10: 125
Input: 2, Original Base: 24, Target Base: 10, Converted: 2, Base10: 2
Input: 6IDQ, Original Base: 27, Target Base: 29, Converted: 5BDO, Base10: 131597
Input: edT, Original Base: 42, Target Base: 8, Converted: 215043, Base10: 72227
Input: 607, Original Base: 63, Target Base: 60, Converted: 6b1, Base10: 23821
Input: 800705, Original Base: 16, Target Base: 25, Converted: LBOG5, Base10: 8390405
Input: E68I, Original Base: 21, Target Base: 33, Converted: 3MLO, Base10: 132486
Input: YC, Original Base: 48, Target Base: 17, Converted: 5BC, Base10: 1644
Input: I9BM7, Original Base: 26, Target Base: 33, Converted: 72GUW, Base10: 8391767
Input: 10000000011101010000, Original Base: 2, Target Base: 53, Converted: 3SGT, Base10: 526160
Input: 4000257, Original Base: 8, Target Base: 5, Converted: 232030001, Base10: 1048751
Input: A3, Original Base: 12, Target Base: 6, Converted: 323, Base10: 123
Input: 16, Original Base: 46, Target Base: 23, Converted: 26, Base10: 52
Input: A5CDA, Original Base: 15, Target Base: 43, Converted: 6QLB, Base10: 526030
Input: 0, Original Base: 53, Target Base: 58, Converted: 0, Base10: 0
Input: 80D5, Original Base: 16, Target Base: 48, Converted: EF5, Base10: 32981
Input: 1, Original Base: 28, Target Base: 8, Converted: 1, Base10: 1
Input: 22O9, Original Base: 25, Target Base: 10, Converted: 33109, Base10: 33109
Input: 11, Original Base: 26, Target Base: 9, Converted: 30, Base10: 27
Input: 800BD, Original Base: 32, Target Base: 24, Converted: 116K4D, Base10: 8388973
Input: 2, Original Base: 61, Target Base: 60, Converted: 2, Base10: 2
Input: 1O2B, Original Base: 44, Target Base: 53, Converted: klg, Base10: 131747
Input: 9JD, Original Base: 34, Target Base: 38, Converted: 7P5, Base10: 11063
Input: 1K4, Original Base: 22, Target Base: 59, Converted: Fh, Base10: 928
Input: 0, Original Base: 50, Target Base: 36, Converted: 0, Base10: 0
Input: D, Original Base: 48, Target Base: 46, Converted: D, Base10: 13
Input: 5, Original Base: 28, Target Base: 8, Converted: 5, Base10: 5
Input: 3, Original Base: 17, Target Base: 19, Converted: 3, Base10: 3
Input: 1, Original Base: 3, Target Base: 17, Converted: 1, Base10: 1
Input: 32FD, Original Base: 22, Target Base: 34, Converted: SQ3, Base10: 33255
Input: 0, Original Base: 60, Target Base: 18, Converted: 0, Base10: 0
Input: 2DD0, Original Base: 14, Target Base: 4, Converted: 2000122, Base10: 8218
Input: 3, Original Base: 38, Target Base: 38, Converted: 3, Base10: 3
Input: 1G4, Original Base: 36, Target Base: 19, Converted: 53E, Base10: 1876
Input: 8, Original Base: 41, Target Base: 27, Converted: 8, Base10: 8
Input: 35G62, Original Base: 20, Target Base: 52, Converted: 3cbM, Base10: 526522
Input: 52D43, Original Base: 15, Target Base: 15, Converted: 52D43, Base10: 262863
Input: ME, Original Base: 45, Target Base: 30, Converted: 13E, Base10: 1004
Input: C, Original Base: 31, Target Base: 17, Converted: C, Base10: 12
Input: 2AA981, Original Base: 13, Target Base: 13, Converted: 2AA981, Base10: 1051792
Input: 2305, Original Base: 7, Target Base: 47, Converted: Hd, Base10: 838
Input: 2, Original Base: 27, Target Base: 51, Converted: 2, Base10: 2
Input: 1673, Original Base: 15, Target Base: 63, Converted: 1Dj, Base10: 4833
Input: I, Original Base: 31, Target Base: 21, Converted: I, Base10: 18
Input: 5, Original Base: 60, Target Base: 42, Converted: 5, Base10: 5
Input: 2V9, Original Base: 45, Target Base: 44, Converted: 2Zg, Base10: 5454
Input: 156N, Original Base: 25, Target Base: 23, Converted: 1CHH, Base10: 18923
Input: D, Original Base: 58, Target Base: 55, Converted: D, Base10: 13
Input: 2TBGG, Original Base: 42, Target Base: 41, Converted: 2dVBX, Base10: 8392036
Input: 2B, Original Base: 27, Target Base: 39, Converted: 1Q, Base10: 65
Input: 144B, Original Base: 13, Target Base: 48, Converted: 1D8, Base10: 2936
Input: A4, Original Base: 17, Target Base: 42, Converted: 46, Base10: 174
Input: 60GK, Original Base: 28, Target Base: 39, Converted: 28Z9, Base10: 132180
Input: 3IL, Original Base: 30, Target Base: 13, Converted: 163B, Base10: 3261
Input: 111121021220, Original Base: 3, Target Base: 56, Converted: 1TLK, Base10: 267756
Input: 4SY, Original Base: 61, Target Base: 10, Converted: 16626, Base10: 16626
Input: 41DE9, Original Base: 19, Target Base: 53, Converted: 3Ufb, Base10: 533111
Input: 182614, Original Base: 17, Target Base: 48, Converted: IlDc, Base10: 2099606
Input: 11, Original Base: 5, Target Base: 50, Converted: 6, Base10: 6
Input: 40000765, Original Base: 8, Target Base: 35, Converted: 5KN8T, Base10: 8389109
Input: D90, Original Base: 16, Target Base: 60, Converted: vq, Base10: 3472
Input: 9, Original Base: 56, Target Base: 27, Converted: 9, Base10: 9
Input: 143, Original Base: 47, Target Base: 60, Converted: e0, Base10: 2400
Input: 2B6946, Original Base: 15, Target Base: 55, Converted: CXTk, Base10: 2097966
Input: 0, Original Base: 11, Target Base: 31, Converted: 0, Base10: 0
Input: 1E, Original Base: 35, Target Base: 3, Converted: 1211, Base10: 49
Input: 23131, Original Base: 5, Target Base: 29, Converted: 1SD, Base10: 1666
Input: Mb2l, Original Base: 57, Target Base: 59, Converted: KP0F, Base10: 4194620
Input: 10221121210, Original Base: 3, Target Base: 8, Converted: 227637, Base10: 77727
Input: 4, Original Base: 26, Target Base: 46, Converted: 4, Base10: 4
Input: 3IAM, Original Base: 54, Target Base: 31, Converted: HJNN, Base10: 525442
Input: 1WEA, Original Base: 33, Target Base: 61, Converted: J99, Base10: 71257
Input: 15B753, Original Base: 15, Target Base: 38, Converted: J618, Base10: 1051278
Input: NJH, Original Base: 27, Target Base: 44, Converted: 8f5, Base10: 17297
Input: 115850, Original Base: 9, Target Base: 11, Converted: 4860A, Base10: 69948
Input: 1578, Original Base: 9, Target Base: 58, Converted: Kj, Base10: 1205
Input: 3, Original Base: 28, Target Base: 60, Converted: 3, Base10: 3
Input: HFc, Original Base: 44, Target Base: 40, Converted: L0A, Base10: 33610
Input: 1CNC, Original Base: 26, Target Base: 53, Converted: 9JA, Base10: 26298
Input: 1000000110000101000, Original Base: 2, Target Base: 29, Converted: APBM, Base10: 265256
Input: 5ARQ, Original Base: 29, Target Base: 35, Converted: 322J, Base10: 131164
Input: 2, Original Base: 5, Target Base: 38, Converted: 2, Base10: 2
Input: AU, Original Base: 55, Target Base: 8, Converted: 1104, Base10: 580
Input: j, Original Base: 59, Target Base: 16, Converted: 2D, Base10: 45
Input: 0, Original Base: 38, Target Base: 16, Converted: 0, Base10: 0
Input: 16EN, Original Base: 30, Target Base: 10, Converted: 32843, Base10: 32843
Input: 4, Original Base: 38, Target Base: 6, Converted: 4, Base10: 4
Input: 4004A8, Original Base: 16, Target Base: 49, Converted: ZWJI, Base10: 4195496
Input: 0, Original Base: 36, Target Base: 49, Converted: 0, Base10: 0
Input: 2G2H, Original Base: 23, Target Base: 6, Converted: 412045, Base10: 32861
Input: 1D, Original Base: 38, Target Base: 8, Converted: 63, Base10: 51
Input: 16L7, Original Base: 31, Target Base: 50, Converted: EOF, Base10: 36215
Input: 212KJ6, Original Base: 21, Target Base: 21, Converted: 212KJ6, Base10: 8390430
Input: 1d, Original Base: 46, Target Base: 24, Converted: 3D, Base10: 85
Input: 6fD, Original Base: 63, Target Base: 35, Converted: LJK, Base10: 26410
Input: 5tOl, Original Base: 56, Target Base: 60, Converted: 4qCV, Base10: 1051951
Input: 1, Original Base: 63, Target Base: 32, Converted: 1, Base10: 1
Input: 0, Original Base: 62, Target Base: 11, Converted: 0, Base10: 0
Input: 1, Original Base: 32, Target Base: 61, Converted: 1, Base10: 1
Input: 1X9, Original Base: 36, Target Base: 4, Converted: 212331, Base10: 2493
Input: 13P5I, Original Base: 26, Target Base: 10, Converted: 526752, Base10: 526752
Input: 1GF, Original Base: 34, Target Base: 36, Converted: 1BN, Base10: 1715
Input: 29, Original Base: 21, Target Base: 45, Converted: 16, Base10: 51
Input: 3n, Original Base: 54, Target Base: 32, Converted: 6J, Base10: 211
Input: 4PE5, Original Base: 31, Target Base: 15, Converted: 2C853, Base10: 143628
Input: 1PD3B, Original Base: 33, Target Base: 53, Converted: E55P, Base10: 2098613
Input: Ab, Original Base: 43, Target Base: 62, Converted: 7X, Base10: 467
Input: 1106, Original Base: 11, Target Base: 51, Converted: SU, Base10: 1458
Input: D, Original Base: 32, Target Base: 12, Converted: 11, Base10: 13
Input: IlYA, Original Base: 48, Target Base: 26, Converted: 4FD9K, Base10: 2100586
Input: H, Original Base: 62, Target Base: 30, Converted: H, Base10: 17
Input: R5Z, Original Base: 37, Target Base: 19, Converted: 5800, Base10: 37183
Input: 2, Original Base: 37, Target Base: 5, Converted: 2, Base10: 2
Input: 2GEB, Original Base: 18, Target Base: 32, Converted: GMN, Base10: 17111
Input: 3BV, Original Base: 59, Target Base: 33, Converted: A72, Base10: 11123
Input: OMKK, Original Base: 35, Target Base: 26, Converted: 28334, Base10: 1056670
Input: 5GD, Original Base: 24, Target Base: 61, Converted: ri, Base10: 3277
Input: BP2HB, Original Base: 29, Target Base: 39, Converted: 3OIGL, Base10: 8392002
Input: LC1FK, Original Base: 25, Target Base: 4, Converted: 200000233131, Base10: 8391645
Input: 1221001020, Original Base: 3, Target Base: 62, Converted: 9rx, Base10: 37941
Input: 80E7, Original Base: 16, Target Base: 44, Converted: H1h, Base10: 32999
Input: 15, Original Base: 25, Target Base: 8, Converted: 36, Base10: 30
Input: 6DJ, Original Base: 39, Target Base: 16, Converted: 25B4, Base10: 9652
Input: G8, Original Base: 26, Target Base: 9, Converted: 521, Base10: 424
Input: 65069, Original Base: 12, Target Base: 20, Converted: GCGH, Base10: 133137
Input: BH, Original Base: 19, Target Base: 43, Converted: 5B, Base10: 226
Input: G26, Original Base: 36, Target Base: 34, Converted: I06, Base10: 20814
Input: 1H, Original Base: 44, Target Base: 24, Converted: 2D, Base10: 61
Input: 1000001000111000000, Original Base: 2, Target Base: 10, Converted: 266688, Base10: 266688
Input: 1, Original Base: 43, Target Base: 29, Converted: 1, Base10: 1
Input: 2GCD, Original Base: 23, Target Base: 13, Converted: 120A2, Base10: 33087
Input: 4ckP, Original Base: 61, Target Base: 18, Converted: A076H, Base10: 1052153
Input: 3586, Original Base: 23, Target Base: 56, Converted: CUO, Base10: 39336
Input: I, Original Base: 43, Target Base: 8, Converted: 22, Base10: 18
Input: 0, Original Base: 56, Target Base: 26, Converted: 0, Base10: 0
Input: 76B, Original Base: 34, Target Base: 39, Converted: 5I0, Base10: 8307
Input: 3, Original Base: 35, Target Base: 20, Converted: 3, Base10: 3
Input: 78, Original Base: 59, Target Base: 34, Converted: CD, Base10: 421
Input: OHMT, Original Base: 35, Target Base: 18, Converted: A02C0, Base10: 1050624
Input: 2Kv9, Original Base: 61, Target Base: 41, Converted: 7TGG, Base10: 531868
Input: 1M, Original Base: 26, Target Base: 50, Converted: m, Base10: 48
Input: acR, Original Base: 44, Target Base: 40, Converted: 14OZ, Base10: 71395
Input: 2, Original Base: 54, Target Base: 9, Converted: 2, Base10: 2
Input: b7, Original Base: 42, Target Base: 4, Converted: 120121, Base10: 1561
Input: B4, Original Base: 38, Target Base: 60, Converted: 72, Base10: 422
Input: R3, Original Base: 42, Target Base: 4, Converted: 101301, Base10: 1137
Input: 3E, Original Base: 34, Target Base: 54, Converted: 28, Base10: 116
Input: 0, Original Base: 21, Target Base: 32, Converted: 0, Base10: 0
Input: 0, Original Base: 20, Target Base: 41, Converted: 0, Base10: 0
Input: 400361, Original Base: 8, Target Base: 16, Converted: 200F1, Base10: 131313
Input: 2000517, Original Base: 8, Target Base: 60, Converted: 2Phh, Base10: 524623
Input: 4320633, Original Base: 7, Target Base: 21, Converted: 2EH13, Base10: 526137
Input: 586EF, Original Base: 21, Target Base: 38, Converted: J4T2, Base10: 1049448
Input: 5QE, Original Base: 47, Target Base: 35, Converted: A0V, Base10: 12281
Input: D, Original Base: 59, Target Base: 17, Converted: D, Base10: 13
Input: 0, Original Base: 8, Target Base: 19, Converted: 0, Base10: 0
Input: NO, Original Base: 45, Target Base: 48, Converted: M3, Base10: 1059
Input: 7H8, Original Base: 29, Target Base: 44, Converted: 3D8, Base10: 6388
Input: O7D, Original Base: 53, Target Base: 11, Converted: 46A37, Base10: 67800
Input: 1211210101, Original Base: 3, Target Base: 60, Converted: A4w, Base10: 36298
Input: 1PC4F, Original Base: 33, Target Base: 61, Converted: 9EhF, Base10: 2097561
Input: 10111110, Original Base: 2, Target Base: 62, Converted: 34, Base10: 190
Input: 232024220, Original Base: 5, Target Base: 12, Converted: 426A65, Base10: 1048685
Input: 27H7O, Original Base: 26, Target Base: 19, Converted: 80GHF, Base10: 1048682
Input: 34036, Original Base: 8, Target Base: 62, Converted: 3ji, Base10: 14366
Input: 1772, Original Base: 24, Target Base: 30, Converted: K0Q, Base10: 18026
Input: 3, Original Base: 22, Target Base: 31, Converted: 3, Base10: 3
Input: WcH, Original Base: 45, Target Base: 13, Converted: 24386, Base10: 66527
Input: 11, Original Base: 14, Target Base: 59, Converted: F, Base10: 15
Input: 3MG, Original Base: 35, Target Base: 30, Converted: 4SL, Base10: 4461
Input: BJhE, Original Base: 57, Target Base: 36, Converted: 191DZ, Base10: 2101319
Input: 3d, Original Base: 50, Target Base: 15, Converted: C9, Base10: 189
Input: 2dZ8S, Original Base: 41, Target Base: 30, Converted: AB1OC, Base10: 8398632
Input: J7, Original Base: 60, Target Base: 16, Converted: 47B, Base10: 1147
Input: 7, Original Base: 19, Target Base: 35, Converted: 7, Base10: 7
Input: LU9, Original Base: 56, Target Base: 26, Converted: 3LNN, Base10: 67545
Input: 1A, Original Base: 45, Target Base: 30, Converted: 1P, Base10: 55
Input: 6R, Original Base: 40, Target Base: 43, Converted: 69, Base10: 267
Input: 1, Original Base: 38, Target Base: 19, Converted: 1, Base10: 1
Input: 7Z, Original Base: 42, Target Base: 58, Converted: 5d, Base10: 329
Input: e, Original Base: 60, Target Base: 63, Converted: e, Base10: 40
Input: 56H, Original Base: 35, Target Base: 11, Converted: 4855, Base10: 6352
Input: J, Original Base: 25, Target Base: 53, Converted: J, Base10: 19
Input: EPe, Original Base: 51, Target Base: 33, Converted: 11LA, Base10: 37729
Input: 9, Original Base: 30, Target Base: 27, Converted: 9, Base10: 9
Input: 1000, Original Base: 2, Target Base: 24, Converted: 8, Base10: 8
Input: A, Original Base: 28, Target Base: 10, Converted: 10, Base10: 10
Input: 8oFD, Original Base: 62, Target Base: 43, Converted: QHQY, Base10: 2099767
Input: 47C, Original Base: 17, Target Base: 60, Converted: LR, Base10: 1287
Input: 9P, Original Base: 56, Target Base: 12, Converted: 381, Base10: 529
Input: JQN, Original Base: 34, Target Base: 29, Converted: R5J, Base10: 22871
Input: 1310451, Original Base: 6, Target Base: 14, Converted: 1C07D, Base10: 71455
Input: 2002211, Original Base: 3, Target Base: 15, Converted: 6C4, Base10: 1534
Input: 3E, Original Base: 56, Target Base: 15, Converted: C2, Base10: 182
Input: 2, Original Base: 22, Target Base: 33, Converted: 2, Base10: 2
Input: 1DWI8, Original Base: 35, Target Base: 12, Converted: 85203A, Base10: 2097838
Input: 15I, Original Base: 30, Target Base: 19, Converted: 2I4, Base10: 1068
Input: 6J, Original Base: 35, Target Base: 36, Converted: 6D, Base10: 229
Input: 72e, Original Base: 43, Target Base: 3, Converted: 122221001, Base10: 13069
Input: 1Ke2, Original Base: 46, Target Base: 5, Converted: 14011443, Base10: 141498
Input: 366, Original Base: 8, Target Base: 22, Converted: B4, Base10: 246
Input: 1, Original Base: 20, Target Base: 12, Converted: 1, Base10: 1
Input: 2, Original Base: 22, Target Base: 21, Converted: 2, Base10: 2
Input: 20131, Original Base: 6, Target Base: 23, Converted: 502, Base10: 2647
Input: 0, Original Base: 39, Target Base: 34, Converted: 0, Base10: 0
Input: 269Z, Original Base: 63, Target Base: 35, Converted: C860, Base10: 524510
Input: 10010001100100101, Original Base: 2, Target Base: 28, Converted: 3B1P, Base10: 74533
Input: 76A, Original Base: 18, Target Base: 11, Converted: 187A, Base10: 2386
Input: 1302, Original Base: 7, Target Base: 6, Converted: 2140, Base10: 492
Input: 5D, Original Base: 15, Target Base: 15, Converted: 5D, Base10: 88
Input: P8A, Original Base: 28, Target Base: 42, Converted: BAA, Base10: 19834
Input: 7WE, Original Base: 37, Target Base: 45, Converted: 5EQ, Base10: 10781
Input: 232133214, Original Base: 5, Target Base: 55, Converted: 6Hln, Base10: 1052309
Input: 9AA, Original Base: 18, Target Base: 18, Converted: 9AA, Base10: 3106
Input: OG, Original Base: 27, Target Base: 39, Converted: H1, Base10: 664
Input: SAaZ, Original Base: 53, Target Base: 44, Converted: 15CUL, Base10: 4198589
Input: 183, Original Base: 28, Target Base: 57, Converted: Hg, Base10: 1011
Input: R8, Original Base: 29, Target Base: 61, Converted: Cx, Base10: 791
Input: 96, Original Base: 18, Target Base: 40, Converted: 48, Base10: 168
Input: 9G, Original Base: 60, Target Base: 27, Converted: KG, Base10: 556
Input: 1033, Original Base: 4, Target Base: 2, Converted: 1001111, Base10: 79
Input: 1870, Original Base: 10, Target Base: 35, Converted: 1IF, Base10: 1870
Input: 10000000000000000010011, Original Base: 2, Target Base: 38, Converted: 20GOZ, Base10: 4194323
Input: 1, Original Base: 47, Target Base: 33, Converted: 1, Base10: 1
Input: 2000463, Original Base: 8, Target Base: 46, Converted: 5HgB, Base10: 524595
Input: 3PG0I, Original Base: 27, Target Base: 16, Converted: 2003A0, Base10: 2098080
Input: A, Original Base: 17, Target Base: 46, Converted: A, Base10: 10
Input: 19CJ, Original Base: 30, Target Base: 8, Converted: 105227, Base10: 35479
Input: 4CK4, Original Base: 25, Target Base: 3, Converted: 10120201021, Base10: 70504
Input: 22327, Original Base: 45, Target Base: 62, Converted: ZCXI, Base10: 8389672
Input: 10, Original Base: 62, Target Base: 59, Converted: 13, Base10: 62
Input: 26CF, Original Base: 31, Target Base: 46, Converted: V31, Base10: 65735
Input: J1P, Original Base: 44, Target Base: 52, Converted: DWb, Base10: 36853
Input: 1ETG9, Original Base: 42, Target Base: 14, Converted: 7B4C69, Base10: 4200765
Input: 4si, Original Base: 62, Target Base: 6, Converted: 222520, Base10: 18768
Input: 4196, Original Base: 14, Target Base: 34, Converted: 9QG, Base10: 11304
Input: 7B2, Original Base: 28, Target Base: 3, Converted: 21221202, Base10: 5798
Input: oNGa, Original Base: 55, Target Base: 43, Converted: 2JM7R, Base10: 8389241
Input: 5C8, Original Base: 31, Target Base: 53, Converted: 1ii, Base10: 5185
Input: ETP, Original Base: 49, Target Base: 17, Converted: 7256, Base10: 35060
Input: 3GCH, Original Base: 18, Target Base: 7, Converted: 123542, Base10: 22913
Input: 1KAF4, Original Base: 23, Target Base: 23, Converted: 1KAF4, Base10: 528820
Input: 5N, Original Base: 39, Target Base: 29, Converted: 7F, Base10: 218
Input: D2M, Original Base: 33, Target Base: 55, Converted: 4d0, Base10: 14245
Input: E4, Original Base: 33, Target Base: 14, Converted: 254, Base10: 466
Input: 17688, Original Base: 12, Target Base: 6, Converted: 420252, Base10: 33800
Input: 4HO52, Original Base: 37, Target Base: 8, Converted: 40004204, Base10: 8390788
Input: 1DF, Original Base: 36, Target Base: 2, Converted: 11011110011, Base10: 1779
Input: F19, Original Base: 23, Target Base: 9, Converted: 11832, Base10: 7967
Input: 7O5PF, Original Base: 27, Target Base: 5, Converted: 2033244224, Base10: 4196814
Input: 3, Original Base: 45, Target Base: 47, Converted: 3, Base10: 3
Input: 7, Original Base: 26, Target Base: 13, Converted: 7, Base10: 7
Input: 2AB, Original Base: 52, Target Base: 30, Converted: 6HT, Base10: 5939
Input: V, Original Base: 54, Target Base: 35, Converted: V, Base10: 31
Input: 2, Original Base: 25, Target Base: 17, Converted: 2, Base10: 2
Input: 5BI5, Original Base: 29, Target Base: 15, Converted: 29068, Base10: 131723
Input: 1GeC, Original Base: 59, Target Base: 37, Converted: 57G7, Base10: 263447
Input: BP294, Original Base: 29, Target Base: 42, Converted: 2TB9b, Base10: 8391763
Input: 3, Original Base: 50, Target Base: 61, Converted: 3, Base10: 3
Input: CN7, Original Base: 37, Target Base: 29, Converted: KG2, Base10: 17286
Input: 72, Original Base: 39, Target Base: 20, Converted: DF, Base10: 275
Input: 4W, Original Base: 57, Target Base: 19, Converted: DD, Base10: 260
